Mar. 11, 2026   16:11:58
Linear Sweep Voltammetry
File: c:\users\11838\desktop\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.11
Final E (V) = -0.81
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

-1.110, 4.033e-6
-1.109, 5.367e-6
-1.108, 6.467e-6
-1.107, 7.512e-6
-1.106, 8.551e-6
-1.105, 9.645e-6
-1.104, 1.074e-5
-1.103, 1.187e-5
-1.102, 1.303e-5
-1.101, 1.422e-5
-1.100, 1.547e-5
-1.099, 1.674e-5
-1.098, 1.806e-5
-1.097, 1.943e-5
-1.096, 2.082e-5
-1.095, 2.228e-5
-1.094, 2.379e-5
-1.093, 2.533e-5
-1.092, 2.693e-5
-1.091, 2.856e-5
-1.090, 3.025e-5
-1.089, 3.203e-5
-1.088, 3.384e-5
-1.087, 3.572e-5
-1.086, 3.765e-5
-1.085, 3.962e-5
-1.084, 4.168e-5
-1.083, 4.380e-5
-1.082, 4.595e-5
-1.081, 4.820e-5
-1.080, 5.047e-5
-1.079, 5.284e-5
-1.078, 5.527e-5
-1.077, 5.773e-5
-1.076, 6.031e-5
-1.075, 6.292e-5
-1.074, 6.563e-5
-1.073, 6.836e-5
-1.072, 7.122e-5
-1.071, 7.408e-5
-1.070, 7.706e-5
-1.069, 8.010e-5
-1.068, 8.324e-5
-1.067, 8.640e-5
-1.066, 8.963e-5
-1.065, 9.298e-5
-1.064, 9.636e-5
-1.063, 9.984e-5
-1.062, 1.034e-4
-1.061, 1.070e-4
-1.060, 1.107e-4
-1.059, 1.145e-4
-1.058, 1.183e-4
-1.057, 1.223e-4
-1.056, 1.263e-4
-1.055, 1.304e-4
-1.054, 1.345e-4
-1.053, 1.387e-4
-1.052, 1.431e-4
-1.051, 1.474e-4
-1.050, 1.519e-4
-1.049, 1.564e-4
-1.048, 1.610e-4
-1.047, 1.658e-4
-1.046, 1.706e-4
-1.045, 1.755e-4
-1.044, 1.804e-4
-1.043, 1.855e-4
-1.042, 1.906e-4
-1.041, 1.958e-4
-1.040, 2.010e-4
-1.039, 2.064e-4
-1.038, 2.118e-4
-1.037, 2.173e-4
-1.036, 2.229e-4
-1.035, 2.286e-4
-1.034, 2.343e-4
-1.033, 2.402e-4
-1.032, 2.461e-4
-1.031, 2.522e-4
-1.030, 2.584e-4
-1.029, 2.646e-4
-1.028, 2.709e-4
-1.027, 2.773e-4
-1.026, 2.837e-4
-1.025, 2.903e-4
-1.024, 2.970e-4
-1.023, 3.028e-4
-1.022, 3.098e-4
-1.021, 3.166e-4
-1.020, 3.237e-4
-1.019, 3.307e-4
-1.018, 3.378e-4
-1.017, 3.452e-4
-1.016, 3.526e-4
-1.015, 3.599e-4
-1.014, 3.676e-4
-1.013, 3.753e-4
-1.012, 3.830e-4
-1.011, 3.907e-4
-1.010, 3.987e-4
-1.009, 4.067e-4
-1.008, 4.150e-4
-1.007, 4.233e-4
-1.006, 4.316e-4
-1.005, 4.399e-4
-1.004, 4.485e-4
-1.003, 4.571e-4
-1.002, 4.657e-4
-1.001, 4.746e-4
-1.000, 4.835e-4
-0.999, 4.924e-4
-0.998, 5.013e-4
-0.997, 5.102e-4
-0.996, 5.195e-4
-0.995, 5.290e-4
-0.994, 5.385e-4
-0.993, 5.481e-4
-0.992, 5.576e-4
-0.991, 5.674e-4
-0.990, 5.769e-4
-0.989, 5.871e-4
-0.988, 5.972e-4
-0.987, 6.071e-4
-0.986, 6.172e-4
-0.985, 6.277e-4
-0.984, 6.381e-4
-0.983, 6.486e-4
-0.982, 6.590e-4
-0.981, 6.698e-4
-0.980, 6.805e-4
-0.979, 6.913e-4
-0.978, 7.024e-4
-0.977, 7.134e-4
-0.976, 7.248e-4
-0.975, 7.359e-4
-0.974, 7.472e-4
-0.973, 7.589e-4
-0.972, 7.703e-4
-0.971, 7.820e-4
-0.970, 7.936e-4
-0.969, 8.053e-4
-0.968, 8.170e-4
-0.967, 8.290e-4
-0.966, 8.410e-4
-0.965, 8.533e-4
-0.964, 8.656e-4
-0.963, 8.776e-4
-0.962, 8.902e-4
-0.961, 9.025e-4
-0.960, 9.151e-4
-0.959, 9.280e-4
-0.958, 9.406e-4
-0.957, 9.532e-4
-0.956, 9.661e-4
-0.955, 9.790e-4
-0.954, 9.919e-4
-0.953, 1.005e-3
-0.952, 1.018e-3
-0.951, 1.032e-3
-0.950, 1.045e-3
-0.949, 1.059e-3
-0.948, 1.072e-3
-0.947, 1.086e-3
-0.946, 1.099e-3
-0.945, 1.113e-3
-0.944, 1.127e-3
-0.943, 1.141e-3
-0.942, 1.155e-3
-0.941, 1.169e-3
-0.940, 1.183e-3
-0.939, 1.198e-3
-0.938, 1.212e-3
-0.937, 1.226e-3
-0.936, 1.241e-3
-0.935, 1.255e-3
-0.934, 1.270e-3
-0.933, 1.285e-3
-0.932, 1.299e-3
-0.931, 1.314e-3
-0.930, 1.329e-3
-0.929, 1.344e-3
-0.928, 1.359e-3
-0.927, 1.374e-3
-0.926, 1.389e-3
-0.925, 1.404e-3
-0.924, 1.420e-3
-0.923, 1.435e-3
-0.922, 1.450e-3
-0.921, 1.466e-3
-0.920, 1.481e-3
-0.919, 1.497e-3
-0.918, 1.513e-3
-0.917, 1.528e-3
-0.916, 1.544e-3
-0.915, 1.560e-3
-0.914, 1.576e-3
-0.913, 1.592e-3
-0.912, 1.608e-3
-0.911, 1.624e-3
-0.910, 1.640e-3
-0.909, 1.656e-3
-0.908, 1.673e-3
-0.907, 1.689e-3
-0.906, 1.705e-3
-0.905, 1.722e-3
-0.904, 1.739e-3
-0.903, 1.755e-3
-0.902, 1.772e-3
-0.901, 1.788e-3
-0.900, 1.805e-3
-0.899, 1.822e-3
-0.898, 1.839e-3
-0.897, 1.856e-3
-0.896, 1.873e-3
-0.895, 1.890e-3
-0.894, 1.906e-3
-0.893, 1.923e-3
-0.892, 1.940e-3
-0.891, 1.958e-3
-0.890, 1.975e-3
-0.889, 1.992e-3
-0.888, 2.010e-3
-0.887, 2.027e-3
-0.886, 2.045e-3
-0.885, 2.062e-3
-0.884, 2.079e-3
-0.883, 2.097e-3
-0.882, 2.114e-3
-0.881, 2.132e-3
-0.880, 2.150e-3
-0.879, 2.168e-3
-0.878, 2.185e-3
-0.877, 2.203e-3
-0.876, 2.221e-3
-0.875, 2.239e-3
-0.874, 2.257e-3
-0.873, 2.275e-3
-0.872, 2.293e-3
-0.871, 2.311e-3
-0.870, 2.330e-3
-0.869, 2.348e-3
-0.868, 2.366e-3
-0.867, 2.384e-3
-0.866, 2.402e-3
-0.865, 2.421e-3
-0.864, 2.440e-3
-0.863, 2.458e-3
-0.862, 2.477e-3
-0.861, 2.495e-3
-0.860, 2.514e-3
-0.859, 2.532e-3
-0.858, 2.551e-3
-0.857, 2.570e-3
-0.856, 2.588e-3
-0.855, 2.607e-3
-0.854, 2.626e-3
-0.853, 2.645e-3
-0.852, 2.664e-3
-0.851, 2.683e-3
-0.850, 2.702e-3
-0.849, 2.721e-3
-0.848, 2.740e-3
-0.847, 2.759e-3
-0.846, 2.779e-3
-0.845, 2.797e-3
-0.844, 2.817e-3
-0.843, 2.836e-3
-0.842, 2.856e-3
-0.841, 2.875e-3
-0.840, 2.895e-3
-0.839, 2.914e-3
-0.838, 2.934e-3
-0.837, 2.954e-3
-0.836, 2.973e-3
-0.835, 2.993e-3
-0.834, 2.994e-3
-0.833, 3.015e-3
-0.832, 3.034e-3
-0.831, 3.055e-3
-0.830, 3.074e-3
-0.829, 3.095e-3
-0.828, 3.114e-3
-0.827, 3.135e-3
-0.826, 3.154e-3
-0.825, 3.175e-3
-0.824, 3.194e-3
-0.823, 3.215e-3
-0.822, 3.237e-3
-0.821, 3.255e-3
-0.820, 3.277e-3
-0.819, 3.298e-3
-0.818, 3.317e-3
-0.817, 3.338e-3
-0.816, 3.357e-3
-0.815, 3.378e-3
-0.814, 3.400e-3
-0.813, 3.418e-3
-0.812, 3.440e-3
-0.811, 3.461e-3
